Step,Content Similarity,Style Similarity
0,0.9806733,0.08357608
100,0.43232688,0.22317606
200,0.3206926,0.22676024
300,0.31426185,0.2262494
400,0.3134721,0.22703889
500,0.30932808,0.22947514
600,0.30527356,0.22881392
700,0.29832894,0.23126909
800,0.29407448,0.23108934
900,0.28893057,0.23217113
1000,0.2851901,0.23699598
1100,0.27873242,0.2403006
1200,0.38461584,0.24340127
1300,0.2770678,0.24305074
1400,0.27159694,0.24618058
1500,0.2706545,0.24508032
1600,0.26629832,0.2474195
1700,0.26354155,0.24833882
1800,0.2631637,0.24966615
1900,0.2565024,0.25112495
2000,0.25475416,0.25368303
2100,0.25431383,0.2550263
2200,0.24981464,0.25633436
2300,0.36941734,0.24896777
2400,0.35880756,0.24518436
2500,0.35008767,0.24353601
2600,0.34239227,0.24032198
2700,0.33886963,0.22971123
2800,0.3291523,0.22891757
2900,0.3244763,0.22781532
