Step,Content Similarity,Style Similarity
0,0.98062015,0.08357608
100,0.5659591,0.11124926
200,0.32233644,0.15171485
300,0.3117823,0.15383586
400,0.30128658,0.15771475
500,0.29389352,0.16011909
600,0.28636706,0.16272488
700,0.28159344,0.16632119
800,0.27661538,0.17008784
900,0.27164796,0.17283082
1000,0.26665968,0.1766499
1100,0.2626797,0.18044733
1200,0.48609936,0.11748182
1300,0.25830197,0.18368888
1400,0.2542724,0.18778238
1500,0.2507144,0.19110069
1600,0.24661925,0.19478089
1700,0.24298091,0.19769698
1800,0.23845664,0.20055632
1900,0.23364553,0.20268106
2000,0.22848454,0.20655549
2100,0.22169137,0.2095215
2200,0.2173605,0.2114555
2300,0.44971392,0.1262396
2400,0.4228159,0.13342553
2500,0.4036228,0.13823478
2600,0.3846191,0.14113078
2700,0.36699528,0.14391407
2800,0.3523018,0.14676248
2900,0.33511013,0.14840758
