Step,Content Similarity,Style Similarity
0,0.96859145,0.14245616
100,0.4857012,0.24872756
200,0.2545694,0.33573097
300,0.24311693,0.33815348
400,0.23489594,0.34171027
500,0.22826076,0.34422144
600,0.22320156,0.34491748
700,0.21859401,0.34757942
800,0.21175626,0.34847042
900,0.2073757,0.34981346
1000,0.20374781,0.35085812
1100,0.20113128,0.35253876
1200,0.40315735,0.27927488
1300,0.19810589,0.3504472
1400,0.19454287,0.3501398
1500,0.19254151,0.34828043
1600,0.18946305,0.34794778
1700,0.18743947,0.3468033
1800,0.18539016,0.3450225
1900,0.18287386,0.34263402
2000,0.18155488,0.34200525
2100,0.1786758,0.3398208
2200,0.17638478,0.33792928
2300,0.3619456,0.29223228
2400,0.33975887,0.29693055
2500,0.32253528,0.30309424
2600,0.30846384,0.31252775
2700,0.29204595,0.3207605
2800,0.27775735,0.3270457
2900,0.2651108,0.332766
