Step,Content Similarity,Style Similarity
0,0.98062015,0.033133708
100,0.24992675,0.08629128
200,0.14435822,0.17311656
300,0.13832808,0.18419158
400,0.13213402,0.19124646
500,0.12663597,0.1986674
600,0.120719634,0.20678303
700,0.11777089,0.21191844
800,0.11379618,0.21923575
900,0.11030881,0.22460869
1000,0.10741943,0.22957285
1100,0.10504968,0.23393644
1200,0.22938332,0.099042445
1300,0.102148935,0.23758444
1400,0.098538436,0.24181786
1500,0.09529361,0.24425098
1600,0.092639655,0.24819475
1700,0.09039344,0.25151768
1800,0.086935334,0.25582284
1900,0.08444418,0.2596016
2000,0.082469806,0.26311883
2100,0.081327856,0.26662502
2200,0.079946324,0.2692899
2300,0.21581393,0.10810551
2400,0.20304103,0.11555967
2500,0.19236076,0.12388742
2600,0.17924587,0.13517042
2700,0.16676325,0.14493746
2800,0.15801919,0.15422016
2900,0.15217352,0.16450487
