Step,Content Similarity,Style Similarity
0,0.98062015,0.07008472
100,0.34373683,0.13405666
200,0.23006132,0.14911932
300,0.2277437,0.15010098
400,0.22348553,0.15027429
500,0.22465615,0.15070958
600,0.22291069,0.1512148
700,0.22364536,0.15131669
800,0.2255201,0.14999484
900,0.22782104,0.14971656
1000,0.22732008,0.14975813
1100,0.2280223,0.14956406
1200,0.3000969,0.15410382
1300,0.22299367,0.15121724
1400,0.2233938,0.15106374
1500,0.22351187,0.15044793
1600,0.2230579,0.15031254
1700,0.22260636,0.14928451
1800,0.22087368,0.15107977
1900,0.22128856,0.15161473
2000,0.2209973,0.15210299
2100,0.22049215,0.15301275
2200,0.22217396,0.15361461
2300,0.28458428,0.15575862
2400,0.26785153,0.15605837
2500,0.25455934,0.15315749
2600,0.24287573,0.15345383
2700,0.23635313,0.15445961
2800,0.23519203,0.15228567
2900,0.23189741,0.15087366
