Step,Content Similarity,Style Similarity
0,0.98062015,0.033133708
100,0.21180607,0.16399583
200,0.15434277,0.21724132
300,0.1509828,0.22249989
400,0.14823282,0.22787718
500,0.14678535,0.23139809
600,0.14557254,0.23615256
700,0.14536321,0.23806715
800,0.14427803,0.23933488
900,0.14269991,0.24236026
1000,0.14211734,0.24762397
1100,0.1415101,0.24957906
1200,0.1900739,0.17556581
1300,0.13878185,0.25602114
1400,0.13931818,0.25782138
1500,0.13828745,0.25961858
1600,0.13848989,0.263787
1700,0.13797936,0.2667225
1800,0.13777247,0.27071422
1900,0.1377277,0.2742699
2000,0.13776866,0.27609164
2100,0.13654023,0.27899873
2200,0.1360728,0.28246322
2300,0.1817874,0.18313208
2400,0.1770932,0.18993679
2500,0.1708196,0.19698384
2600,0.16598225,0.20258117
2700,0.16206574,0.2066914
2800,0.1605702,0.20924579
2900,0.15776362,0.2134952
