Step,Content Similarity,Style Similarity
0,0.96859145,0.14245616
100,0.5747289,0.24062094
200,0.35585785,0.33763424
300,0.34599143,0.341611
400,0.33649072,0.34719303
500,0.33023083,0.34853086
600,0.3232017,0.34794968
700,0.317378,0.34495074
800,0.31176397,0.3439617
900,0.3070474,0.3448121
1000,0.30372402,0.34239852
1100,0.30016106,0.34262997
1200,0.49055064,0.2833403
1300,0.29511714,0.3417263
1400,0.2919746,0.34348917
1500,0.2869442,0.34155086
1600,0.28334495,0.34110963
1700,0.2805493,0.33901396
1800,0.2749133,0.33992866
1900,0.27132544,0.34105575
2000,0.2679309,0.3410867
2100,0.2662154,0.34127206
2200,0.2628606,0.34317315
2300,0.43596837,0.3052
2400,0.4035001,0.30937573
2500,0.39068156,0.31802848
2600,0.3851603,0.3188621
2700,0.37992048,0.32247132
2800,0.3713291,0.32832634
2900,0.36411083,0.3325967
