Step,Content Similarity,Style Similarity
0,0.9626454,0.083556585
100,0.5074258,0.15638307
200,0.23746634,0.22496772
300,0.23067027,0.22956999
400,0.22304958,0.23233265
500,0.21935338,0.23759675
600,0.21556723,0.24335577
700,0.2135287,0.24669975
800,0.20821457,0.24838784
900,0.20312048,0.25215968
1000,0.19395298,0.25529128
1100,0.18860273,0.2572748
1200,0.36432084,0.1751158
1300,0.18356678,0.26129717
1400,0.17986254,0.266288
1500,0.1767993,0.26663688
1600,0.1751264,0.26782295
1700,0.17278963,0.2705797
1800,0.17120802,0.2705554
1900,0.16969973,0.269593
2000,0.16962758,0.26922303
2100,0.1700885,0.2716206
2200,0.1694881,0.27230608
2300,0.3113408,0.17982797
2400,0.28436586,0.19076678
2500,0.26820722,0.1946233
2600,0.26349536,0.199824
2700,0.25596672,0.2108326
2800,0.251921,0.21875116
2900,0.24501953,0.22386724
