Step,Content Similarity,Style Similarity
0,0.96859145,0.19209549
100,0.5609571,0.31594723
200,0.36207783,0.4155301
300,0.3556104,0.41774824
400,0.3510412,0.41722715
500,0.34825596,0.41925457
600,0.34555194,0.41863427
700,0.34247944,0.41786188
800,0.33940512,0.41785997
900,0.3370759,0.4180131
1000,0.33300585,0.41845727
1100,0.33216605,0.41640896
1200,0.48734647,0.35261577
1300,0.3293084,0.417661
1400,0.32658648,0.42077985
1500,0.32405847,0.42131552
1600,0.3233863,0.42346185
1700,0.32260853,0.42589536
1800,0.32060215,0.42692143
1900,0.3196745,0.4302762
2000,0.31860942,0.43013144
2100,0.31715238,0.43311048
2200,0.3164235,0.43401283
2300,0.45017672,0.3842685
2400,0.4260841,0.39482868
2500,0.40380055,0.401635
2600,0.3902821,0.40817565
2700,0.3792333,0.41263223
2800,0.37231237,0.41500056
2900,0.36688644,0.41602185
