Step,Loss
0,4333.19921875
100,2986.19140625
200,2740.569580078125
300,2637.9072265625
400,2579.971435546875
500,2540.967041015625
600,2512.552734375
700,2491.29736328125
800,2474.554443359375
900,2461.029296875
1000,2449.828369140625
1100,2440.25244140625
1200,2431.905517578125
1300,2424.553955078125
1400,2418.025390625
1500,2412.26953125
1600,2407.041259765625
1700,2402.19482421875
1800,2397.850830078125
1900,2393.908447265625
2000,2390.2451171875
2100,2386.8046875
2200,2383.602783203125
2300,2380.641845703125
2400,2377.875732421875
2500,2375.291748046875
2600,2372.89453125
2700,2370.68994140625
2800,2368.59521484375
2900,2366.58642578125
3000,2364.68994140625
